NGS Gateway,Foundation,TST,Oncomine
NOTCH2,DICER1,,
NPM1,DNMT3A,,
NRAS,DOT1L,,
NSD1,EGFR,,
NTRK1,EP300,,
NTRK2,EPHA3,,
NTRK3,EPHA5,,
PALB2,EPHA7,,
PAX5,EPHB1,,
PDGFRA,ERBB2,,
PDGFRB,ERBB3,,
PIK3CA,ERBB4,,
PIK3R1,ERG,,
PIK3R2,ERRFI1,,
POLD1,ESR1,,
POLE,EZH2,,
PTCH1,FAM123B,,
PTEN,FAM46C,,
PTPN11,FANCA,,
RAC1,FANCC,,
RAD54B,FANCD2,,
RASA1,FANCE,,
RB1,FANCF,,
RET,FANCG,,
RHOA,FANCL,,
RIT1,FAS,,
ROS1,FAT1,,
RUNX1,FBXW7,,
SETBP1,FGF10,,
SF3B1,FGF14,,
SHH,FGF19,,
SMAD4,FGF23,,
SMARCA4,FGF3,,
SMO,FGF4,,
SRC,FGF6,,
SRSF2,FGFR1,,
STAG2,FGFR2,,
STK11,FGFR3,,
SUFU,FGFR4,,
TERT,FH,,
TET1,FLCN,,
TET2,FLT1,,
TNFAIP3,FLT4,,
TNFRSF14,FOXL2,,
TP53,FOXP1,,
TSC1,FRS2,,
TSC2,FUBP1,,
TSLP,GABRA6,,
U2AF1,GATA1,,
VHL,GATA2,,
WNT1,GATA3,,
WT1,GATA4,,
ZRSR2,GATA6,,
,GID4,,
,GLI1,,
,GNA11,,
,GNA13,,
,GNAQ,,
,GNAS,,
,GPR124,,
,GRIN2A,,
,GRM3,,
,GSK3B,,
,H3F3A,,
,HGF,,
,HNF1A,,
,HRAS,,
,HSD3B1,,
,HSP90AA1,,
,IDH1,,
,IDH2,,
,IGF1R,,
,IGF2,,
,IKBKE,,
,IKZF1,,
,IL7R,,
,INHBA,,
,INPP4B,,
,IRF2,,
,IRF4,,
,IRS2,,
,JAK1,,
,JAK2,,
,JAK3,,
,JUN,,
,KAT6A,,
,KDM5A,,
,KDM5C,,
,KDM6A,,
,KDR,,
,KEAP1,,
,KEL,,
,KIT,,
,KLHL6,,
,KMT2A,,
,KMT2C,,
,KMT2D,,
,KRAS,,
,LMO1,,
,LRP1B,,
,LYN,,
,LZTR1,,
,MAGI2,,
,MAP2K1,,
,MAP2K2,,
,MAP2K4,,
,MAP3K1,,
,MCL1,,
,MDM2,,
,MDM4,,
,MED12,,
,MEF2B,,
,MEN1,,
,MET,,
,MITF,,
,MLH1,,
,MPL,,
,MRE11A,,
,MSH2,,
,MSH6,,
,MTOR,,
,MUTYH,,
,MYC,,
,MYCL,,
,MYCN,,
,MYD88,,
,NF1,,
,NF2,,
,NFE2L2,,
,NFKBIA,,
,NKX2-1,,
,NOTCH1,,
,NOTCH2,,
,NOTCH3,,
,NPM1,,
,NRAS,,
,NSD1,,
,NTRK1,,
,NTRK2,,
,NTRK3,,
,NUP93,,
,PAK3,,
,PALB2,,
,PARK2,,
,PAX5,,
,PBRM1,,
,PDCD1LG2,,
,PDGFRA,,
,PDGFRB,,
,PDK1,,
,PIK3C2B,,
,PIK3CA,,
,PIK3CB,,
,PIK3CG,,
,PIK3R1,,
,PIK3R2,,
,PLCG2,,
,PMS2,,
,POLD1,,
,POLE,,
,PPP2R1A,,
,PRDM1,,
,PREX2,,
,PRKAR1A,,
,PRKCI,,
,PRKDC,,
,PRSS8,,
,PTCH1,,
,PTEN,,
,PTPN11,,
,QKI,,
,RAC1,,
,RAD50,,
,RAD51,,
,RAF1,,
,RANBP2,,
,RARA,,
,RB1,,
,RBM10,,
,RET,,
,RICTOR ,,
,RNF43,,
,ROS1,,
,RPTOR,,
,RUNX1,,
,RUNX1T1,,
,SDHA,,
,SDHB,,
,SDHC,,
,SDHD,,
,SETD2,,
,SF3B1,,
,SLIT2,,
,SMAD2,,
,SMAD3,,
,SMAD4,,
,SMARCA4,,
,SMARCB1,,
,SMO,,
,SNCAIP,,
,SOCS1,,
,SOX10,,
,SOX2,,
,SOX9,,
,SPEN,,
,SPOP,,
,SPTA1,,
,SRC,,
,STAG2,,
,STAT3,,
,STAT4,,
,STK11,,
,SUFU,,
,SYK,,
,TAF1,,
,TBX3 ,,
,TERC ,,
,TERT,,
,TET2,,
,TGFBR2,,
,TNFAIP3,,
,TNFRSF14,,
,TOP1,,
,TOP2A,,
,TP53,,
,TSC1,,
,TSC2,,
,TSHR,,
,U2AF1,,
,VEGFA,,
,VHL,,
,WISP3,,
,WT1,,
,XPO1,,
,ZBTB2,,
,ZNF217,,
,ZNF703,,
